2019-02-06 17:09:09.917 [main] INFO  com.ocr.charles.Menu - Solution : 9 9 0 0 
2019-02-06 17:09:09.917 [main] INFO  com.ocr.charles.Menu - Réponse : 8 8 1 1 
2019-02-06 17:09:09.917 [main] INFO  com.ocr.charles.Menu - Résultat : ++--
2019-02-06 17:09:09.917 [main] INFO  com.ocr.charles.Menu - La partie est terminée : false
2019-02-06 17:09:09.917 [main] INFO  com.ocr.charles.Menu - Le joueur remporte la partie : false
2019-02-06 17:09:09.918 [main] INFO  com.ocr.charles.Menu - Tentatives restantes : 11
2019-02-06 17:09:09.918 [main] INFO  com.ocr.charles.Menu - Tour Ai n°4 :
2019-02-06 17:09:09.918 [main] INFO  com.ocr.charles.Menu - Solution : 9 9 0 0 
2019-02-06 17:09:09.918 [main] INFO  com.ocr.charles.Menu - Réponse : 9 9 0 0 
2019-02-06 17:09:09.918 [main] INFO  com.ocr.charles.Menu - Résultat : ====
2019-02-06 17:09:09.918 [main] INFO  com.ocr.charles.Menu - La partie est terminée : true
2019-02-06 17:09:09.918 [main] INFO  com.ocr.charles.Menu - Le joueur remporte la partie : false
2019-02-06 17:09:09.918 [main] INFO  com.ocr.charles.Menu - Tentatives restantes : 01
2019-02-06 17:09:13.332 [main] INFO  com.ocr.charles.Menu - Joueur quitte l'application
2019-02-06 17:13:44.851 [main] INFO  com.ocr.charles.Menu - ---------------------------------------------------------
2019-02-06 17:13:44.855 [main] INFO  com.ocr.charles.Menu - -----------------LANCEMENT APPLICATION-------------------
2019-02-06 17:13:44.855 [main] INFO  com.ocr.charles.Menu - ---------------------------------------------------------
2019-02-06 17:13:47.723 [main] INFO  com.ocr.charles.Menu - Jeu choisi : Searchumber
2019-02-06 17:13:48.394 [main] INFO  com.ocr.charles.Menu - --------------------NOUVELLE PARTIE----------------------
2019-02-06 17:13:48.395 [main] INFO  com.ocr.charles.Menu - -----------------------Resume init-----------------------
2019-02-06 17:13:48.395 [main] INFO  com.ocr.charles.Menu - Nombre de digits : 4
2019-02-06 17:13:48.395 [main] INFO  com.ocr.charles.Menu - Tentatives autorisées : 5
2019-02-06 17:13:48.395 [main] INFO  com.ocr.charles.Menu - Tentatives autorisées -1 : 4
2019-02-06 17:13:48.395 [main] INFO  com.ocr.charles.Menu - Partie terminée : false
2019-02-06 17:13:48.395 [main] INFO  com.ocr.charles.Menu - Joueur gagne : false
2019-02-06 17:13:48.395 [main] INFO  com.ocr.charles.Menu - Range min: 0 0 0 0 
2019-02-06 17:13:48.395 [main] INFO  com.ocr.charles.Menu - Range max: 9 9 9 9 
2019-02-06 17:13:48.395 [main] INFO  com.ocr.charles.Menu - Développeur mode : true
2019-02-06 17:13:48.395 [main] INFO  com.ocr.charles.Menu - --------------------Fin resume init----------------------
2019-02-06 17:13:49.843 [main] INFO  com.ocr.charles.Menu - Mode choisi : Defender
2019-02-06 17:13:49.843 [main] INFO  com.ocr.charles.Menu - Tour Ai n°1 :
2019-02-06 17:13:49.843 [main] INFO  com.ocr.charles.Menu - Solution : 9 9 0 0 
2019-02-06 17:13:49.843 [main] INFO  com.ocr.charles.Menu - Réponse : 5 5 5 5 
2019-02-06 17:13:49.843 [main] INFO  com.ocr.charles.Menu - Résultat : ++--
2019-02-06 17:13:49.843 [main] INFO  com.ocr.charles.Menu - La partie est terminée : false
2019-02-06 17:13:49.843 [main] INFO  com.ocr.charles.Menu - Le joueur remporte la partie : false
2019-02-06 17:13:49.843 [main] INFO  com.ocr.charles.Menu - Tentatives restantes : 31
2019-02-06 17:13:49.843 [main] INFO  com.ocr.charles.Menu - MAJ range Mini : 6
2019-02-06 17:13:49.843 [main] INFO  com.ocr.charles.Menu - MAJ range Maxi : 
2019-02-06 17:13:49.844 [main] INFO  com.ocr.charles.Menu - MAJ range Mini : 6
2019-02-06 17:13:49.844 [main] INFO  com.ocr.charles.Menu - MAJ range Maxi : 
